#{"t_start": 1736080320.903883, "env_id": "None"}
r,l,t
-708.8071,1000,4.799078
0.0,1000,4.799127
-16.552082,1000,4.79914
0.0,1000,4.79915
0.0,1000,4.799158
-30.379797,1000,4.799166
0.0,1000,4.799175
-390.1986,1000,4.799183
0.0,1000,4.799191
0.0,1000,4.799199
85.65122,1000,9.424546
0.0,1000,9.424694
0.0,1000,9.424722
0.0,1000,9.424747
0.0,1000,9.424766
-66.816864,1000,9.42479
0.0,1000,9.424813
0.0,1000,9.424837
-64.41451,1000,9.42486
0.0,1000,9.424882
155.00961,1000,17.492298
0.0,1000,17.492346
-92.657394,1000,17.49236
0.0,1000,17.492372
0.0,1000,17.492386
276.29938,1000,17.492395
0.0,1000,17.492404
-46.311897,1000,17.492414
0.0,1000,17.492423
0.0,1000,17.492432
0.0,1000,22.291167
-629.762,1000,22.291214
0.0,1000,22.29123
-71.13497,1000,22.291241
212.60587,1000,22.291251
224.7196,1000,22.291261
0.0,1000,22.29127
0.0,1000,22.291279
-6.1153107,1000,22.291288
0.0,1000,22.291298
4.795658,1000,30.256516
68.296616,1000,30.25659
4.340849,1000,30.256605
0.0,1000,30.256616
0.0,1000,30.256626
-59.860195,1000,30.256635
0.0,1000,30.256645
0.0,1000,30.256654
0.0,1000,30.256663
0.0,1000,30.256672
0.0,1000,34.919254
-5.882515,1000,34.919302
-42.750435,1000,34.919323
0.0,1000,34.919334
-16.59443,1000,34.919343
0.0,1000,34.919353
0.0,1000,34.919362
69.84759,1000,34.919371
0.0,1000,34.91938
0.0,1000,34.919389
0.0,1000,43.101552
0.0,1000,43.101615
0.0,1000,43.101629
103.03989,1000,43.101639
0.0,1000,43.10165
-28.59172,1000,43.10166
0.0,1000,43.10167
8.796876,1000,43.101679
120.2696,1000,43.101688
0.0,1000,43.101698
0.0,1000,48.007409
0.0,1000,48.007466
0.0,1000,48.007482
-388.05777,1000,48.007494
145.1303,1000,48.007506
0.0,1000,48.007516
0.0,1000,48.007525
0.0,1000,48.007533
0.0,1000,48.007542
93.77926,1000,48.007551
0.0,1000,56.029786
-30.417025,1000,56.029838
0.0,1000,56.02986
-2.5091085,1000,56.029876
-3.4083939,1000,56.029892
0.0,1000,56.029908
0.0,1000,56.029923
0.0,1000,56.029938
0.0,1000,56.029953
0.0,1000,56.029969
-59.304844,1000,60.744463
0.0,1000,60.744514
0.0,1000,60.744528
0.0,1000,60.744538
-1.1134564,1000,60.744547
-0.00062334724,1000,60.744557
243.89494,1000,60.744568
0.0,1000,60.744578
0.0,1000,60.744586
0.0,1000,60.744596
0.0,1000,69.038208
-53.891888,1000,69.038255
14.514784,1000,69.038271
0.0,1000,69.038282
77.0737,1000,69.038292
34.76534,1000,69.038302
0.0,1000,69.038312
29.242128,1000,69.038321
-17.915592,1000,69.03833
4.4425664,1000,69.038339
32.298977,1000,73.81667
-18.2029,1000,73.816718
0.49214152,1000,73.816733
-53.61842,1000,73.816744
